ensembl_gene_id	ensembl_transcript_id	start	end	HGNC_gene_symbol	swissprot_id
ENSG00000004142	ENST00000540200	80	1183	POLDIP2	Q9Y2S7
ENSG00000004399	ENST00000324093	38	5812	PLXND1	Q9Y4D7
ENSG00000004455	ENST00000672715	56	772	AK2	P54819
ENSG00000004468	ENST00000226279	88	988	CD38	P28907
ENSG00000004478	ENST00000001008	171	1548	FKBP4	Q02790
ENSG00000004487	ENST00000685102	155	2789	KDM1A	O60341
ENSG00000004534	ENST00000266022	143	3512	RBM6	P78332
ENSG00000004660	ENST00000381769	14	1609	CAMKK1	Q8N5S9
ENSG00000004700	ENST00000444129	512	2458	RECQL	P46063
ENSG00000004766	ENST00000305866	103	2995	VPS50	Q96JG6
ENSG00000004776	ENST00000004982	22	501	HSPB6	O14558
ENSG00000004777	ENST00000007510	96	3957	ARHGAP33	O14559
ENSG00000004779	ENST00000007516	27	494	NDUFAB1	O14561
ENSG00000004799	ENST00000005178	224	1456	PDK4	Q16654
ENSG00000004809	ENST00000368919	40	1770	SLC22A16	Q86VW1
ENSG00000004838	ENST00000231749	154	1473	ZMYND10	O75800
ENSG00000004846	ENST00000404938	193	3964	ABCB5	Q2M3G0
ENSG00000004848	ENST00000379044	229	1914	ARX	Q96QS3
ENSG00000004864	ENST00000416240	192	2219	SLC25A13	Q9UJS0
ENSG00000004866	ENST00000265437	215	1970	ST7	Q9NRC1
ENSG00000004897	ENST00000531206	5	2494	CDC27	P30260
ENSG00000004939	ENST00000262418	151	2883	SLC4A1	P02730
ENSG00000004948	ENST00000649521	540	2009	CALCR	P30988
ENSG00000004961	ENST00000321143	203	1007	HCCS	P53701
ENSG00000004975	ENST00000005340	256	2463	DVL2	O14641
ENSG00000005001	ENST00000161006	67	1017	PRSS22	Q9GZN4
ENSG00000005007	ENST00000599848	210	3597	UPF1	Q92900
ENSG00000005020	ENST00000345317	162	1238	SKAP2	O75563
ENSG00000005022	ENST00000317881	73	967	SLC25A5	P05141
ENSG00000005059	ENST00000394650	93	1101	MCUB	Q9NWR8
ENSG00000005073	ENST00000006015	89	1027	HOXA11	P31270
ENSG00000005075	ENST00000292614	63	413	POLR2J	P52435
ENSG00000005100	ENST00000225296	124	2244	DHX33	Q9H6R0
ENSG00000005102	ENST00000318579	389	1150	MEOX1	P50221
ENSG00000005108	ENST00000423059	253	5223	THSD7A	Q9UPZ6
ENSG00000005156	ENST00000378526	116	3143	LIG3	P49916
ENSG00000005175	ENST00000005386	86	2080	RPAP3	Q9H6T3
ENSG00000005187	ENST00000289416	164	1922	ACSM3	Q53FZ2
ENSG00000005189	ENST00000261377	182	2504	REXO5	Q96IC2
ENSG00000005194	ENST00000394391	100	1035	CIAPIN1	Q6FI81
ENSG00000005206	ENST00000613503	27	1803	SPPL2B	Q8TCT7
ENSG00000005238	ENST00000322813	278	1891	ATOSB	Q7L5A3
ENSG00000005243	ENST00000621465	21	650	COPZ2	Q9P299
ENSG00000005249	ENST00000265717	204	1458	PRKAR2B	P31323
ENSG00000005302	ENST00000312196	28	1591	MSL3	Q8N5Y2
ENSG00000005339	ENST00000262367	798	8123	CREBBP	Q92793
ENSG00000005379	ENST00000343736	876	6446	TSPOAP1	O95153
ENSG00000005381	ENST00000225275	178	2412	MPO	P05164
ENSG00000005421	ENST00000222381	58	1122	PON1	P27169
ENSG00000005436	ENST00000321027	61	2403	GCFC2	P16383
ENSG00000005448	ENST00000348227	89	1091	WDR54	Q9H977
ENSG00000005469	ENST00000419147	200	2120	CROT	Q9UKG9
ENSG00000005471	ENST00000265723	113	3970	ABCB4	P21439
ENSG00000005483	ENST00000311117	520	6094	KMT2E	Q8IZD2
ENSG00000005486	ENST00000006777	50	1142	RHBDD2	Q6NTF9
ENSG00000005513	ENST00000293894	154	1492	SOX8	P57073
ENSG00000005700	ENST00000306270	541	4599	IBTK	Q9P2D0
ENSG00000005801	ENST00000620374	251	2149	ZNF195	O14628
ENSG00000005810	ENST00000683697	320	14635	MYCBP2	O75592
ENSG00000005812	ENST00000355619	335	1618	FBXL3	Q9UKT7
ENSG00000005844	ENST00000356798	97	3607	ITGAL	P20701
ENSG00000005882	ENST00000503176	86	1307	PDK2	Q15119
ENSG00000005884	ENST00000007722	1	3199	ITGA3	P26006
ENSG00000005889	ENST00000379188	100	2632	ZFX	P17010
ENSG00000005893	ENST00000434600	197	1429	LAMP2	P13473
ENSG00000005961	ENST00000262407	177	3293	ITGA2B	P08514
ENSG00000005981	ENST00000325885	30	1308	ASB4	Q9Y574
ENSG00000006007	ENST00000353258	135	1127	GDE1	Q9NZC3
ENSG00000006015	ENST00000358607	5	608	REX1BD	Q96EN9
ENSG00000006016	ENST00000684169	144	1421	CRLF1	O75462
ENSG00000006025	ENST00000007414	217	2742	OSBPL7	Q9BZF2
ENSG00000006042	ENST00000394642	383	1061	TMEM98	Q9Y2Y6
ENSG00000006047	ENST00000007699	140	1231	YBX2	Q9Y2T7
ENSG00000006059	ENST00000007735	62	1273	KRT33A	O76009
ENSG00000006062	ENST00000344686	82	2922	MAP3K14	Q99558
ENSG00000006071	ENST00000644772	32	4840	ABCC8	Q09428
ENSG00000006116	ENST00000005284	421	1366	CACNG3	O60359
ENSG00000006118	ENST00000005286	154	3226	TMEM132A	Q24JP5
ENSG00000006125	ENST00000610402	131	2984	AP2B1	P63010
ENSG00000006128	ENST00000319273	120	507	TAC1	P20366
ENSG00000006194	ENST00000219069	329	2378	ZNF263	O14978
ENSG00000006210	ENST00000563383	93	1302	CX3CL1	P78423
ENSG00000006282	ENST00000006658	36	2442	SPATA20	Q8TB22
ENSG00000006283	ENST00000359106	746	7877	CACNA1G	O43497
ENSG00000006327	ENST00000575124	24	702	TNFRSF12A	Q9NP84
ENSG00000006377	ENST00000518156	426	1305	DLX6	P56179
ENSG00000006432	ENST00000555993	364	3717	MAP3K9	P80192
ENSG00000006451	ENST00000005257	292	910	RALA	P11233
ENSG00000006453	ENST00000005260	239	1771	BAIAP2L1	Q9UHR4
ENSG00000006459	ENST00000397560	47	2869	KDM7A	Q6ZMT4
ENSG00000006468	ENST00000405358	108	1580	ETV1	P50549
ENSG00000006530	ENST00000649286	40	1306	AGK	Q53H12
ENSG00000006534	ENST00000614849	117	1521	ALDH3B1	P43353
ENSG00000006555	ENST00000371276	161	1867	TTC22	Q5TAA0
ENSG00000006576	ENST00000416283	216	2571	PHTF2	Q8N3S3
ENSG00000006606	ENST00000394905	259	540	CCL26	Q9Y258
ENSG00000006607	ENST00000264042	129	3291	FARP2	O94887
ENSG00000006611	ENST00000005226	110	2806	USH1C	Q9Y6N9
ENSG00000006625	ENST00000275428	121	684	GGCT	O75223
ENSG00000006634	ENST00000265728	241	2263	DBF4	Q9UBU7
ENSG00000006638	ENST00000411851	215	1435	TBXA2R	P21731
ENSG00000006652	ENST00000675578	658	2011	IFRD1	O00458
ENSG00000006659	ENST00000360675	267	771	LGALS14	Q8TCE9
ENSG00000006695	ENST00000664217	117	1446	COX10	Q12887
ENSG00000006704	ENST00000455841	214	3142	GTF2IRD1	Q9UHL9
ENSG00000006712	ENST00000221265	243	1835	PAF1	Q8N7H5
ENSG00000006715	ENST00000310301	18	2579	VPS41	P49754
ENSG00000006740	ENST00000379672	342	2796	ARHGAP44	Q17R89
ENSG00000006744	ENST00000338034	81	2558	ELAC2	Q9BQ52
ENSG00000006747	ENST00000297029	68	2213	SCIN	Q9Y6U3
ENSG00000006756	ENST00000381154	65	1843	ARSD	P51689
ENSG00000006757	ENST00000381042	142	900	PNPLA4	P41247
ENSG00000006788	ENST00000252172	92	5905	MYH13	Q9UKX3
ENSG00000006831	ENST00000357103	209	1367	ADIPOR2	Q86V24
ENSG00000006837	ENST00000265334	217	1992	CDKL3	Q8IVW4
ENSG00000007001	ENST00000605860	47	1169	UPP2	O95045
ENSG00000007038	ENST00000005995	33	975	PRSS21	Q9Y6M0
ENSG00000007047	ENST00000262891	319	2575	MARK4	Q96L34
ENSG00000007062	ENST00000447510	259	2853	PROM1	O43490
ENSG00000007080	ENST00000445755	46	715	CCDC124	Q96CT7
ENSG00000007129	ENST00000401445	110	989	CEACAM21	Q3KPI0
ENSG00000007168	ENST00000674608	245	1529	PAFAH1B1	P43034
ENSG00000007171	ENST00000313735	265	3723	NOS2	P35228
ENSG00000007174	ENST00000262442	30	13488	DNAH9	Q9NYC9
ENSG00000007202	ENST00000528896	103	6807	BLTP2	Q14667
ENSG00000007216	ENST00000444914	421	2344	SLC13A2	Q13183
ENSG00000007237	ENST00000432992	217	1644	GAS7	O60861
ENSG00000007255	ENST00000006275	20	538	TRAPPC6A	O75865
ENSG00000007264	ENST00000395045	339	1862	MATK	P42679
ENSG00000007306	ENST00000006724	203	997	CEACAM7	Q14002
ENSG00000007312	ENST00000392795	76	765	CD79B	P40259
ENSG00000007314	ENST00000435607	78	5585	SCN4A	P35499
ENSG00000007341	ENST00000358039	29	1753	ST7L	Q8TDW4
ENSG00000007350	ENST00000369915	66	1854	TKTL1	P51854
ENSG00000007372	ENST00000638963	46	1464	PAX6	P26367
ENSG00000007376	ENST00000561734	245	1180	RPUSD1	Q9UJJ7
ENSG00000007384	ENST00000262316	144	2708	RHBDF1	Q96CC6
ENSG00000007392	ENST00000293872	111	1223	LUC7L	Q9NQ29
ENSG00000007402	ENST00000423994	1	3459	CACNA2D2	Q9NY47
ENSG00000007516	ENST00000324385	159	3720	BAIAP3	O94812
ENSG00000007520	ENST00000007390	75	1010	TSR3	Q9UJK0
ENSG00000007541	ENST00000026218	89	2369	PIGQ	Q9BRB3
ENSG00000007545	ENST00000397412	300	4107	CRAMP1	Q96RY5
ENSG00000007866	ENST00000338863	232	1536	TEAD3	Q99594
ENSG00000007908	ENST00000333360	158	1987	SELE	P16581
ENSG00000007923	ENST00000377577	17	1693	DNAJC11	Q9NVH1
ENSG00000007933	ENST00000367755	84	1680	FMO3	P31513
ENSG00000007944	ENST00000356840	238	1573	MYLIP	Q8WY64
ENSG00000007952	ENST00000372966	221	1912	NOX1	Q9Y5S8
ENSG00000007968	ENST00000361729	441	1751	E2F2	Q14209
ENSG00000008018	ENST00000262193	66	788	PSMB1	P20618
ENSG00000008056	ENST00000295987	130	2244	SYN1	P17600
ENSG00000008083	ENST00000341776	472	4210	JARID2	Q92833
ENSG00000008086	ENST00000379996	276	3366	CDKL5	O76039
ENSG00000008118	ENST00000009105	246	1674	CAMK1G	Q96NX5
ENSG00000008128	ENST00000378633	81	2429	CDK11A	Q9UQ88
ENSG00000008130	ENST00000378625	206	1978	NADK	O95544
ENSG00000008196	ENST00000393655	22	1402	TFAP2B	Q92481
ENSG00000008197	ENST00000008391	531	1887	TFAP2D	Q7Z6R9
ENSG00000008226	ENST00000346219	22	5356	DLEC1	Q9Y238
ENSG00000008256	ENST00000396741	138	1337	CYTH3	O43739
ENSG00000008277	ENST00000413139	216	3108	ADAM22	Q9P0K1
ENSG00000008282	ENST00000011473	48	824	SYPL1	Q16563
ENSG00000008283	ENST00000542042	84	1037	CYB561	P49447
ENSG00000008294	ENST00000262013	213	4175	SPAG9	O60271
ENSG00000008300	ENST00000164024	253	10188	CELSR3	Q9NYQ7
ENSG00000008311	ENST00000679864	156	2933	AASS	Q9UDR5
ENSG00000008323	ENST00000011684	149	2519	PLEKHG6	Q3KR16
ENSG00000008324	ENST00000447630	209	440	SS18L2	Q9UHA2
ENSG00000008382	ENST00000596722	1	1510	MPND	Q8N594
ENSG00000008394	ENST00000396210	89	554	MGST1	P10620
ENSG00000008405	ENST00000008527	589	2346	CRY1	Q16526
ENSG00000008438	ENST00000008938	33	620	PGLYRP1	O75594
ENSG00000008441	ENST00000676441	54	1584	NFIX	Q14938
ENSG00000008513	ENST00000521180	1018	2037	ST3GAL1	Q11201
ENSG00000008516	ENST00000336577	358	2044	MMP25	Q9NPA2
ENSG00000008517	ENST00000534507	212	914	IL32	P24001
ENSG00000008710	ENST00000262304	210	13118	PKD1	P98161
ENSG00000008735	ENST00000329492	27	2499	MAPK8IP2	Q13387
ENSG00000008838	ENST00000394126	420	3461	MED24	O75448
ENSG00000008853	ENST00000519685	284	2531	RHOBTB2	Q9BYZ6
ENSG00000008869	ENST00000233099	127	6339	HEATR5B	Q9P2D3
ENSG00000008952	ENST00000337002	17	1214	SEC62	Q99442
ENSG00000008988	ENST00000519807	127	552	RPS20	P60866
ENSG00000009307	ENST00000688211	545	3076	CSDE1	O75534
ENSG00000009335	ENST00000348165	348	3597	UBE3C	Q15386
ENSG00000009413	ENST00000368802	331	9720	REV3L	O60673
ENSG00000009694	ENST00000422452	65	8260	TENM1	Q9UKZ4
ENSG00000009709	ENST00000375375	599	2159	PAX7	P23759
ENSG00000009724	ENST00000400897	33	2090	MASP2	O00187
ENSG00000009765	ENST00000229447	141	1020	IYD	Q6PHW0
ENSG00000009780	ENST00000010299	25	1048	FAM76A	Q8TAV0
ENSG00000009790	ENST00000367025	417	2070	TRAF3IP3	Q9Y228
ENSG00000009830	ENST00000682795	61	2457	POMT2	Q9UKY4
ENSG00000009844	ENST00000367630	26	947	VTA1	Q9NP79
ENSG00000009950	ENST00000313375	31	2586	MLXIPL	Q9NP71
ENSG00000009954	ENST00000339594	361	4809	BAZ1B	Q9UIG0
ENSG00000010017	ENST00000011619	331	2517	RANBP9	Q96S59
ENSG00000010030	ENST00000340181	129	1151	ETV7	Q9Y603
ENSG00000010072	ENST00000295050	92	1559	SPRTN	Q9H040
ENSG00000010165	ENST00000361735	309	2406	METTL13	Q8N6R0
ENSG00000010219	ENST00000543431	39	1941	DYRK4	Q9NR20
ENSG00000010244	ENST00000342555	311	1802	ZNF207	O43670
ENSG00000010256	ENST00000203407	27	1466	UQCRC1	P31930
ENSG00000010270	ENST00000009041	235	937	STARD3NL	O95772
ENSG00000010278	ENST00000536586	89	899	CD9	P21926
ENSG00000010282	ENST00000310417	148	1659	HHATL	Q9HCP6
ENSG00000010292	ENST00000315579	77	4280	NCAPD2	Q15021
ENSG00000010295	ENST00000619571	14	1726	IFFO1	Q0D2I5
ENSG00000010310	ENST00000590918	123	1521	GIPR	P48546
ENSG00000010318	ENST00000327906	658	1801	PHF7	Q9BWX1
ENSG00000010319	ENST00000231721	77	2422	SEMA3G	Q9NS98
ENSG00000010322	ENST00000479054	73	4585	NISCH	Q9Y2I1
ENSG00000010327	ENST00000321725	77	7787	STAB1	Q9NY15
ENSG00000010361	ENST00000313777	187	1440	FUZ	Q9BT04
ENSG00000010379	ENST00000343164	54	1859	SLC6A13	Q9NSD5
ENSG00000010404	ENST00000340855	170	1819	IDS	P22304
ENSG00000010438	ENST00000342836	91	868	PRSS3	P35030
ENSG00000010539	ENST00000414144	254	1438	ZNF200	P98182
ENSG00000010610	ENST00000011653	203	1577	CD4	P01730
ENSG00000010626	ENST00000007969	221	1250	LRRC23	Q53EV4
ENSG00000010671	ENST00000621635	248	2326	BTK	Q06187
ENSG00000010704	ENST00000357618	13	1057	HFE	Q30201
ENSG00000010803	ENST00000326197	301	2280	SCMH1	Q96GD3
ENSG00000010810	ENST00000354650	608	2218	FYN	P06241
ENSG00000010818	ENST00000367603	719	8056	HIVEP2	P31629
ENSG00000010932	ENST00000617670	137	1733	FMO1	Q01740
ENSG00000011007	ENST00000613537	34	2350	ELOA	Q14241
ENSG00000011009	ENST00000374514	133	826	LYPLA2	O95372
ENSG00000011021	ENST00000376496	4	2863	CLCN6	P51797
ENSG00000011028	ENST00000303375	134	4571	MRC2	Q9UBG0
ENSG00000011083	ENST00000524041	244	2242	SLC6A7	Q99884
ENSG00000011105	ENST00000407263	18	831	TSPAN9	O75954
ENSG00000011114	ENST00000334746	324	3719	BTBD7	Q9P203
ENSG00000011132	ENST00000316757	195	1919	APBA3	O96018
ENSG00000011143	ENST00000678463	26	1708	MKS1	Q9NXB0
ENSG00000011198	ENST00000644371	56	1103	ABHD5	Q8WTS1
ENSG00000011201	ENST00000262648	102	2141	ANOS1	P23352
ENSG00000011243	ENST00000397410	66	2003	AKAP8L	Q9ULX6
ENSG00000011258	ENST00000586178	328	2211	MBTD1	Q05BQ5
ENSG00000011260	ENST00000225298	40	1708	UTP18	Q9Y5J1
ENSG00000011275	ENST00000389902	193	2961	RNF216	Q9NWF9
ENSG00000011295	ENST00000261647	26	1166	TTC19	Q6DKK2
ENSG00000011304	ENST00000635647	424	2188	PTBP1	P26599
ENSG00000011332	ENST00000686058	14	1318	DPF1	Q92782
ENSG00000011347	ENST00000539008	257	2314	SYT7	O43581
ENSG00000011376	ENST00000650792	142	2851	LARS2	Q15031
ENSG00000011405	ENST00000265970	1	5058	PIK3C2A	O00443
ENSG00000011422	ENST00000340093	50	1054	PLAUR	Q03405
ENSG00000011426	ENST00000265748	166	3538	ANLN	Q9NQW6
ENSG00000011451	ENST00000673675	220	5886	WIZ	O95785
ENSG00000011454	ENST00000373647	124	3331	RABGAP1	Q9Y3P9
ENSG00000011465	ENST00000052754	197	1273	DCN	P07585
ENSG00000011478	ENST00000012049	39	1185	QPCTL	Q9NXS2
ENSG00000011485	ENST00000012443	11	1508	PPP5C	P53041
ENSG00000011523	ENST00000377990	160	2431	CEP68	Q76N32
ENSG00000011566	ENST00000263881	299	2980	MAP4K3	Q8IVH8
ENSG00000011590	ENST00000392197	288	1749	ZBTB32	Q9Y2Y4
ENSG00000011600	ENST00000585901	20	451	TYROBP	O43914
ENSG00000011638	ENST00000451578	157	712	LDAF1	Q96B96
ENSG00000011677	ENST00000370314	197	1672	GABRA3	P34903
ENSG00000012048	ENST00000471181	233	5884	BRCA1	P38398
ENSG00000012061	ENST00000013807	193	1161	ERCC1	P07992
ENSG00000012124	ENST00000085219	67	2608	CD22	P20273
ENSG00000012171	ENST00000611067	28	2290	SEMA3B	Q13214
ENSG00000012174	ENST00000379484	119	1676	MBTPS2	O43462
ENSG00000012211	ENST00000599218	77	1921	PRICKLE3	O43900
ENSG00000012223	ENST00000231751	39	2168	LTF	P02788
ENSG00000012232	ENST00000220562	729	3486	EXTL3	O43909
ENSG00000012504	ENST00000551379	29	1487	NR1H4	Q96RI1
ENSG00000012660	ENST00000370918	372	1349	ELOVL5	Q9NYP7
ENSG00000012779	ENST00000374391	65	2087	ALOX5	P09917
ENSG00000012817	ENST00000541639	289	4998	KDM5D	Q9BY66
ENSG00000012822	ENST00000550804	74	2146	CALCOCO1	Q9P1Z2
ENSG00000012963	ENST00000013070	37	1312	UBR7	Q8N806
ENSG00000012983	ENST00000682126	232	2769	MAP4K5	Q9Y4K4
ENSG00000013016	ENST00000322054	471	2076	EHD3	Q9NZN3
ENSG00000013275	ENST00000157812	39	1293	PSMC4	P43686
ENSG00000013288	ENST00000285599	23	3050	MAN2B2	Q9Y2E5
ENSG00000013293	ENST00000231706	318	2630	SLC7A14	Q8TBB6
ENSG00000013297	ENST00000064724	200	821	CLDN11	O75508
ENSG00000013306	ENST00000377095	129	1205	SLC25A39	Q9BZJ4
ENSG00000013364	ENST00000395353	194	2873	MVP	Q14764
ENSG00000013374	ENST00000470229	157	2002	NUB1	Q9Y5A7
ENSG00000013375	ENST00000506587	148	1857	PGM3	O95394
ENSG00000013392	ENST00000369724	228	1104	RWDD2A	Q9UIY3
ENSG00000013441	ENST00000434813	336	1913	CLK1	P49759
ENSG00000013503	ENST00000228347	133	3532	POLR3B	Q9NW08
ENSG00000013523	ENST00000251089	56	2065	ANGEL1	Q9UNK9
ENSG00000013561	ENST00000394520	244	1666	RNF14	Q9UBS8
ENSG00000013563	ENST00000369807	231	1136	DNASE1L1	P49184
ENSG00000013573	ENST00000545668	81	2991	DDX11	Q96FC9
ENSG00000013583	ENST00000647702	1	621	HEBP1	Q9NRV9
ENSG00000013588	ENST00000014914	111	1182	GPRC5A	Q8NFJ5
ENSG00000013619	ENST00000682016	141	3210	MAMLD1	Q13495
ENSG00000013725	ENST00000313421	187	2191	CD6	P30203
ENSG00000013810	ENST00000651472	134	2648	TACC3	Q9Y6A5
ENSG00000014123	ENST00000369278	69	2451	UFL1	O94874
ENSG00000014138	ENST00000265465	332	2126	POLA2	Q14181
ENSG00000014164	ENST00000262577	27	2870	ZC3H3	Q8IXZ2
ENSG00000014216	ENST00000533820	219	2361	CAPN1	P07384
ENSG00000014257	ENST00000351273	51	1305	ACP3	P15309
ENSG00000014641	ENST00000539945	82	1141	MDH1	P40925
ENSG00000014824	ENST00000264451	123	1827	SLC30A9	Q6PML9
ENSG00000014914	ENST00000439741	233	2359	MTMR11	A4FU01
ENSG00000014919	ENST00000016171	79	1308	COX15	Q7KZN9
ENSG00000015133	ENST00000389857	131	6214	CCDC88C	Q9P219
ENSG00000015153	ENST00000327791	57	668	YAF2	Q8IY57
ENSG00000015171	ENST00000397955	61	1912	ZMYND11	Q15326
ENSG00000015285	ENST00000376701	56	1562	WAS	P42768
ENSG00000015413	ENST00000421184	204	1437	DPEP1	P16444
ENSG00000015475	ENST00000317361	328	1050	BID	P55957
ENSG00000015479	ENST00000394805	244	2785	MATR3	P43243
ENSG00000015520	ENST00000289547	57	4133	NPC1L1	Q9UHC9
ENSG00000015532	ENST00000017003	16	2611	XYLT2	Q9H1B5
ENSG00000015568	ENST00000016946	162	5457	RGPD5	Q99666
ENSG00000015592	ENST00000522908	133	906	STMN4	Q9H169
ENSG00000015676	ENST00000355451	59	1141	NUDCD3	Q8IVD9
ENSG00000016082	ENST00000230658	225	1272	ISL1	P61371
ENSG00000016391	ENST00000315251	468	2249	CHDH	Q8NE62
ENSG00000016402	ENST00000316649	238	1896	IL20RA	Q9UHF4
ENSG00000016490	ENST00000234701	352	3094	CLCA1	A8K7I4
ENSG00000016602	ENST00000370563	43	2800	CLCA4	Q14CN2
ENSG00000016864	ENST00000266014	382	1494	GLT8D1	Q68CQ7
ENSG00000017260	ENST00000507488	221	3140	ATP2C1	P98194
ENSG00000017427	ENST00000307046	183	767	IGF1	P05019
ENSG00000017483	ENST00000595796	845	2260	SLC38A5	Q8WUX1
ENSG00000017797	ENST00000019317	224	2189	RALBP1	Q15311
ENSG00000018189	ENST00000381006	611	2471	RUFY3	Q7L099
ENSG00000018236	ENST00000551295	231	3285	CNTN1	Q12860
ENSG00000018280	ENST00000233202	97	1747	SLC11A1	P49279
ENSG00000018408	ENST00000465804	258	1457	WWTR1	Q9GZV5
ENSG00000018510	ENST00000642466	18	2046	AGPS	O00116
ENSG00000018610	ENST00000644802	55	720	STEEP1	Q9H5V9
ENSG00000018625	ENST00000361216	104	3164	ATP1A2	P50993
ENSG00000018699	ENST00000317907	244	2773	TTC27	Q6P3X3
ENSG00000018869	ENST00000586929	396	1946	ZNF582	Q96NG8
ENSG00000019102	ENST00000326621	119	1099	VSIG2	Q96IQ7
ENSG00000019144	ENST00000361417	412	4543	PHLDB1	Q86UU1
ENSG00000019169	ENST00000327097	108	1668	MARCO	Q9UEW3
ENSG00000019186	ENST00000216862	408	1949	CYP24A1	Q07973
ENSG00000019485	ENST00000683152	246	3777	PRDM11	Q9NQV5
ENSG00000019505	ENST00000020926	135	1412	SYT13	Q7L8C5
ENSG00000019549	ENST00000020945	165	968	SNAI2	O43623
ENSG00000019582	ENST00000009530	162	1049	CD74	P04233
ENSG00000019991	ENST00000222390	77	2260	HGF	P14210
ENSG00000019995	ENST00000359653	372	2496	ZRANB1	Q9UGI0
ENSG00000020129	ENST00000356090	128	2315	NCDN	Q9UBB6
ENSG00000020181	ENST00000412232	387	4401	ADGRA2	Q96PE1
ENSG00000020256	ENST00000216923	144	2186	ZFP64	Q9NTW7
ENSG00000020426	ENST00000261245	103	1030	MNAT1	P51948
ENSG00000020577	ENST00000554335	633	2787	SAMD4A	Q9UPU9
ENSG00000020633	ENST00000338888	247	1533	RUNX3	Q13761
ENSG00000020922	ENST00000407439	290	2422	MRE11	P49959
ENSG00000021300	ENST00000354190	29	758	PLEKHB1	Q9UF11
ENSG00000021355	ENST00000380739	61	1197	SERPINB1	P30740
ENSG00000021461	ENST00000222382	1	1513	CYP3A43	Q9HB55
ENSG00000021488	ENST00000590341	178	1638	SLC7A9	P82251
ENSG00000021574	ENST00000315285	277	2125	SPAST	Q9UBP0
ENSG00000021645	ENST00000335750	1006	5719	NRXN3	Q9HDB5
ENSG00000021645	ENST00000335750	1006	5719	NRXN3	Q9Y4C0
ENSG00000021762	ENST00000263650	117	2753	OSBPL5	Q9H0X9
ENSG00000021776	ENST00000156471	130	4584	AQR	O60306
ENSG00000021826	ENST00000430249	83	4601	CPS1	P31327
ENSG00000021852	ENST00000371237	68	1840	C8B	P07358
ENSG00000022267	ENST00000394155	197	1166	FHL1	Q13642
ENSG00000022277	ENST00000023939	114	1122	RTF2	Q9BY42
